[INFO] [launch]: All log files can be found below /home/rcv/.ros/log/2026-05-27-23-04-48-940050-rcv-NUC15CRSU9-14845
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [ros2-1]: process started with pid [14959]
[INFO] [cartographer_node-2]: process started with pid [14960]
[INFO] [cartographer_occupancy_grid_node-3]: process started with pid [14961]
[INFO] [trajectory_to_odom-4]: process started with pid [14962]
[trajectory_to_odom-4] [WARN] [1779890689.014585855] [rcl]: ROS_LOCALHOST_ONLY is deprecated but still honored if it is enabled. Use ROS_AUTOMATIC_DISCOVERY_RANGE and ROS_STATIC_PEERS instead.
[trajectory_to_odom-4] [WARN] [1779890689.014604901] [rcl]: 'localhost_only' is enabled, 'automatic_discovery_range' and 'static_peers' will be ignored.
[cartographer_occupancy_grid_node-3] [WARN] [1779890689.031745576] [rcl]: ROS_LOCALHOST_ONLY is deprecated but still honored if it is enabled. Use ROS_AUTOMATIC_DISCOVERY_RANGE and ROS_STATIC_PEERS instead.
[cartographer_occupancy_grid_node-3] [WARN] [1779890689.031769062] [rcl]: 'localhost_only' is enabled, 'automatic_discovery_range' and 'static_peers' will be ignored.
[trajectory_to_odom-4] [INFO] [1779890689.067411643] [trajectory_to_odom]: TrackedPoseToOdom node initialized.
[cartographer_node-2] [WARN] [1779890689.072617653] [rcl]: ROS_LOCALHOST_ONLY is deprecated but still honored if it is enabled. Use ROS_AUTOMATIC_DISCOVERY_RANGE and ROS_STATIC_PEERS instead.
[cartographer_node-2] [WARN] [1779890689.072633476] [rcl]: 'localhost_only' is enabled, 'automatic_discovery_range' and 'static_peers' will be ignored.
[cartographer_node-2] [WARN] [1779890689.100617790] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 node.cpp:1245] Localization status: LOST
[ros2-1] [WARN] [1779890689.269843587] [rcl]: ROS_LOCALHOST_ONLY is deprecated but still honored if it is enabled. Use ROS_AUTOMATIC_DISCOVERY_RANGE and ROS_STATIC_PEERS instead.
[ros2-1] [WARN] [1779890689.269854917] [rcl]: 'localhost_only' is enabled, 'automatic_discovery_range' and 'static_peers' will be ignored.
[ros2-1] stdin is not a terminal device. Keyboard handling disabled.[INFO] [1779890689.402882771] [rosbag2_storage]: Opened database '/home/rcv/SLAM_main-SLAM_IMU_WHEEL_tun_upg/0518_2_humble/latest_0.db3' for READ_ONLY.
[ros2-1] [INFO] [1779890689.403699831] [rosbag2_player]: Set rate to 1
[ros2-1] [INFO] [1779890689.413846021] [rosbag2_player]: Overriding QoS profile for topic /tf_static
[ros2-1] [INFO] [1779890689.416712498] [rosbag2_player]: Adding keyboard callbacks.
[ros2-1] [INFO] [1779890689.416729523] [rosbag2_player]: Press SPACE for Pause/Resume
[ros2-1] [INFO] [1779890689.416734208] [rosbag2_player]: Press CURSOR_RIGHT for Play Next Message
[ros2-1] [INFO] [1779890689.416738119] [rosbag2_player]: Press CURSOR_UP for Increase Rate 10%
[ros2-1] [INFO] [1779890689.416741603] [rosbag2_player]: Press CURSOR_DOWN for Decrease Rate 10%
[ros2-1] [INFO] [1779890689.417991901] [rosbag2_player]: Playback until timestamp: -1
[cartographer_node-2] [WARN] [1779890689.645640688] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 tf_bridge.cpp:53] Lookup would require extrapolation at time 1779099286.291817, but only time 1779099286.299675 is in the buffer, when looking up transform from frame [base_link] to frame [imu]
[cartographer_node-2] [WARN] [1779890689.847827928] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847852075] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864241435 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847861579] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847869598] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864241609 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847877456] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847885503] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864241783 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847893225] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847900641] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864241956 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847908448] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847916158] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864242130 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847923996] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847931486] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864242304 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847939151] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847946560] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864242477 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847954281] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847961720] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864242651 (earliest: 639146960864316821)
[cartographer_node-2] [WARN] [1779890689.847969362] [cartographer logger]: W20260527 23:04:49.-2147483648 14960 pose_extrapolator.cc:67] No odometry data for time: 639146960864125786 (earliest: 639146960864316821)
